N_communes;N_pop;D_pop;N_kids;W_pop;N_retired;N_foreigners;Natural_growth;N_wedding;N_death;Prop_fam;M_home;S_primary;S_tertiary;N_nlog;N_indivihome;little_house;N_social;N_cinema;Migratory_balance
Vezia;1879.00;1351.80;369.00;1107.00;403.00;457.00;2.00;4.00;15.00;5.10;2.25;4.00;159.00;0.00;52.20;53.30;59.00;0.00;0.00
Vico Morcote;422.00;214.20;81.00;248.00;93.00;188.00;1.00;4.00;0.00;3.90;2.06;X;34.00;6.00;71.10;50.60;X;0.00;-25.80
Collina d'Oro;4604.00;749.80;871.00;2686.00;1047.00;1547.00;-21.00;13.00;46.00;4.90;2.23;6.00;352.00;9.00;67.10;46.80;24.00;0.00;-2.60
Alto Malcantone;1380.00;62.60;242.00;819.00;319.00;114.00;-5.00;4.00;16.00;5.40;2.17;15.00;65.00;2.00;81.30;54.70;24.00;0.00;-6.50
Monteceneri;4535.00;125.70;908.00;2832.00;795.00;858.00;-32.00;14.00;63.00;5.00;2.28;16.00;319.00;109.00;73.60;68.10;77.00;0.00;15.00
Balerna;3240.00;1280.60;528.00;1934.00;778.00;868.00;-42.00;13.00;58.00;3.30;2.00;X;432.00;0.00;46.40;67.80;128.00;0.00;3.40
Castel San Pietro;2194.00;185.30;397.00;1287.00;510.00;266.00;-18.00;8.00;35.00;4.90;2.25;30.00;127.00;2.00;68.50;50.10;26.00;0.00;5.90
Chiasso;7581.00;1417.00;1187.00;4324.00;2070.00;3040.00;-91.00;15.00;134.00;3.10;1.84;9.00;1734.00;5.00;33.40;61.30;580.00;0.00;-9.10
Coldrerio;2867.00;1165.40;441.00;1661.00;765.00;538.00;-5.00;7.00;23.00;3.50;2.17;5.00;147.00;7.00;52.20;56.80;50.00;0.00;-8.30
Mendrisio;14902.00;469.10;2555.00;8796.00;3551.00;3332.00;-72.00;48.00;169.00;3.80;2.10;69.00;1732.00;114.00;59.80;58.40;368.00;2.00;6.30
Morbio Inferiore;4441.00;1965.00;836.00;2534.00;1071.00;1119.00;-22.00;9.00;47.00;3.80;2.21;6.00;274.00;9.00;68.70;62.40;176.00;0.00;-9.80
Novazzano;2338.00;447.00;388.00;1353.00;597.00;430.00;-11.00;4.00;30.00;3.70;2.24;22.00;175.00;8.00;57.40;66.20;66.00;0.00;5.10
Riva San Vitale;2626.00;434.00;445.00;1576.00;605.00;495.00;-17.00;2.00;30.00;4.30;2.16;6.00;176.00;22.00;68.40;56.10;52.00;0.00;-1.10
Stabio;4491.00;730.20;905.00;2697.00;889.00;1055.00;-21.00;16.00;47.00;4.70;2.33;9.00;493.00;4.00;65.80;59.00;126.00;0.00;2.70
Vacallo;3363.00;2063.20;588.00;1972.00;803.00;994.00;-20.00;5.00;41.00;3.30;2.14;X;183.00;10.00;57.50;61.20;90.00;0.00;0.00
Breggia;1926.00;75.60;309.00;1125.00;492.00;214.00;-6.00;2.00;19.00;3.40;2.16;26.00;75.00;4.00;78.70;53.50;14.00;0.00;-4.10
Biasca;6094.00;103.10;1158.00;3476.00;1460.00;2062.00;-23.00;13.00;66.00;5.00;2.23;24.00;408.00;27.00;68.10;67.10;237.00;0.00;3.00
Riviera;4252.00;49.10;859.00;2612.00;781.00;1268.00;-7.00;8.00;40.00;4.70;2.30;22.00;165.00;55.00;73.20;56.50;92.00;0.00;14.40
Bosco/Gurin;52.00;2.40;3.00;33.00;16.00;5.00;0.00;0.00;0.00;3.30;1.73;4.00;10.00;0.00;84.30;57.10;X;0.00;59.40
Campo (Vallemaggia);49.00;1.10;1.00;29.00;19.00;8.00;-2.00;0.00;2.00;3.10;1.53;4.00;7.00;0.00;90.60;45.10;X;0.00;-20.00
Cerentino;40.00;2.00;3.00;21.00;16.00;3.00;-1.00;0.00;1.00;8.00;1.56;4.00;4.00;0.00;89.40;60.10;X;0.00;-94.10
Cevio;1142.00;7.50;190.00;660.00;292.00;168.00;-16.00;3.00;25.00;6.10;2.10;11.00;94.00;2.00;85.10;55.70;19.00;0.00;14.90
Linescio;42.00;6.30;2.00;28.00;12.00;4.00;-1.00;0.00;2.00;4.30;1.70;X;X;0.00;96.20;48.10;X;0.00;-89.90
Maggia;2611.00;23.50;478.00;1515.00;618.00;263.00;-6.00;6.00;23.00;4.60;2.17;15.00;155.00;11.00;84.90;33.00;21.00;0.00;4.60
Lavizzara;500.00;2.70;76.00;282.00;142.00;30.00;-14.00;1.00;15.00;8.40;2.19;24.00;28.00;0.00;88.50;59.10;X;0.00;6.00
Avegno Gordevio;1516.00;55.50;319.00;886.00;311.00;142.00;6.00;3.00;10.00;6.40;2.38;9.00;93.00;3.00;79.90;50.90;17.00;0.00;-1.30
Terre di Pedemonte;2627.00;226.70;489.00;1515.00;623.00;313.00;-5.00;4.00;21.00;3.80;2.27;9.00;179.00;17.00;72.90;54.00;31.00;0.00;1.90
Centovalli;1135.00;21.30;155.00;612.00;368.00;116.00;-10.00;5.00;16.00;3.60;1.97;14.00;93.00;3.00;84.10;54.80;13.00;0.00;11.50
Gambarogno;5163.00;99.70;883.00;3025.00;1255.00;1135.00;-13.00;9.00;49.00;4.40;2.14;21.00;426.00;22.00;65.40;62.40;93.00;0.00;8.20
Verzasca;799.00;3.70;106.00;439.00;254.00;49.00;-3.00;1.00;9.00;4.00;1.93;22.00;52.00;1.00;91.70;57.90;8.00;0.00;45.90
Aigle;10462.00;637.50;2334.00;6305.00;1823.00;4246.00;10.00;35.00;113.00;6.80;2.22;46.00;677.00;165.00;53.70;55.40;880.00;1.00;24.30
Bex;7845.00;81.20;1810.00;4610.00;1425.00;2514.00;-14.00;22.00;92.00;6.80;2.20;54.00;388.00;62.00;61.50;52.30;737.00;1.00;-4.30
Chessel;444.00;125.10;94.00;282.00;68.00;99.00;4.00;0.00;2.00;8.10;2.25;14.00;18.00;49.00;67.20;47.50;24.00;0.00;22.90
Corbeyrier;445.00;20.20;78.00;211.00;156.00;40.00;-7.00;2.00;9.00;2.90;2.04;4.00;24.00;3.00;73.50;49.20;9.00;0.00;41.00
Gryon;1376.00;90.40;284.00;797.00;295.00;383.00;-1.00;3.00;9.00;4.30;2.09;7.00;123.00;27.00;73.80;49.90;37.00;0.00;20.60
Lavey-Morcles;944.00;66.50;209.00;544.00;191.00;178.00;5.00;4.00;10.00;5.80;2.11;5.00;32.00;1.00;64.00;58.50;67.00;0.00;11.70
Leysin;3623.00;195.10;945.00;2135.00;543.00;1865.00;-2.00;7.00;21.00;3.30;1.98;13.00;191.00;8.00;46.90;46.70;113.00;1.00;-43.50
Noville;1178.00;113.40;288.00;710.00;180.00;297.00;5.00;3.00;6.00;8.80;2.57;24.00;71.00;9.00;58.40;50.00;27.00;0.00;2.60
Ollon;7624.00;128.00;2005.00;4181.00;1438.00;2635.00;-7.00;25.00;53.00;5.20;2.22;71.00;401.00;63.00;63.50;48.20;121.00;0.00;14.40
Ormont-Dessous;1182.00;18.40;229.00;712.00;241.00;218.00;-3.00;7.00;16.00;4.40;2.00;36.00;74.00;1.00;71.80;44.50;33.00;0.00;37.00
Ormont-Dessus;1467.00;23.80;246.00;816.00;405.00;340.00;-2.00;1.00;12.00;3.60;2.00;18.00;155.00;7.00;57.50;50.10;25.00;0.00;24.80
Rennaz;892.00;407.30;211.00;545.00;136.00;263.00;9.00;3.00;0.00;7.30;2.31;X;56.00;1.00;47.60;57.30;50.00;0.00;18.10
Roche (VD);1867.00;289.50;511.00;1105.00;251.00;647.00;13.00;3.00;12.00;7.50;2.40;11.00;61.00;2.00;61.90;61.30;161.00;0.00;16.80
Villeneuve (VD);5834.00;182.40;1293.00;3532.00;1009.00;2411.00;11.00;23.00;55.00;6.90;2.27;13.00;307.00;12.00;50.20;57.00;483.00;0.00;11.20
Yvorne;1070.00;87.70;214.00;658.00;198.00;204.00;-1.00;1.00;12.00;4.90;2.24;33.00;64.00;0.00;51.70;48.20;38.00;0.00;0.90
Apples;1453.00;112.80;362.00;815.00;276.00;291.00;-2.00;4.00;19.00;8.50;2.48;22.00;85.00;2.00;62.20;42.80;23.00;0.00;-3.40
Aubonne;3235.00;344.90;724.00;1959.00;552.00;1033.00;6.00;8.00;19.00;7.10;2.34;23.00;320.00;4.00;48.20;49.60;68.00;1.00;-12.90
Ballens;562.00;66.50;136.00;335.00;91.00;120.00;4.00;3.00;2.00;4.00;2.47;13.00;17.00;0.00;49.60;54.80;8.00;0.00;27.20
Berolle;313.00;32.60;71.00;202.00;40.00;48.00;-1.00;0.00;1.00;14.70;2.87;11.00;12.00;0.00;61.60;37.00;X;0.00;45.70
Bière;1621.00;64.70;353.00;987.00;281.00;495.00;-1.00;2.00;13.00;4.10;2.27;21.00;59.00;4.00;44.50;61.00;68.00;0.00;23.00
Bougy-Villars;478.00;270.10;102.00;276.00;100.00;138.00;0.00;1.00;2.00;6.20;2.45;4.00;24.00;3.00;73.40;32.80;9.00;0.00;6.30
Féchy;871.00;322.60;220.00;509.00;142.00;241.00;8.00;4.00;2.00;8.20;2.54;12.00;51.00;0.00;63.80;36.50;6.00;0.00;-2.30
Gimel;2311.00;122.40;544.00;1378.00;389.00;580.00;-13.00;9.00;40.00;5.90;2.37;17.00;86.00;33.00;60.60;49.90;58.00;0.00;38.70
Longirod;495.00;52.40;106.00;294.00;95.00;83.00;0.00;3.00;3.00;5.20;2.33;15.00;21.00;6.00;66.10;54.20;6.00;0.00;30.70
Marchissy;483.00;40.30;111.00;301.00;71.00;70.00;6.00;1.00;3.00;4.40;2.37;10.00;22.00;0.00;61.40;49.30;8.00;0.00;10.50
Mollens (VD);330.00;30.00;62.00;220.00;48.00;67.00;5.00;1.00;2.00;7.80;2.56;17.00;16.00;2.00;46.80;51.90;X;0.00;53.40
Montherod;521.00;105.00;117.00;334.00;70.00;152.00;3.00;1.00;2.00;8.50;2.47;9.00;19.00;0.00;54.90;46.40;X;0.00;-32.20
Saint-George;1073.00;87.10;252.00;633.00;188.00;247.00;-2.00;6.00;7.00;5.60;2.36;7.00;52.00;0.00;74.30;48.20;15.00;0.00;9.40
Saint-Livres;684.00;84.20;152.00;435.00;97.00;115.00;4.00;6.00;3.00;5.40;2.31;13.00;33.00;0.00;55.70;57.30;18.00;0.00;-17.50
Saint-Oyens;460.00;150.30;137.00;274.00;49.00;96.00;9.00;2.00;0.00;5.50;2.70;5.00;13.00;0.00;71.90;40.90;6.00;0.00;15.40
Saubraz;423.00;114.00;122.00;259.00;42.00;103.00;0.00;0.00;2.00;9.60;2.68;X;14.00;0.00;69.70;45.10;X;0.00;4.70
Avenches;4477.00;229.90;1001.00;2751.00;725.00;1682.00;9.00;14.00;38.00;6.10;2.26;29.00;242.00;98.00;52.60;57.30;286.00;0.00;36.30
Cudrefin;1780.00;114.80;432.00;1072.00;276.00;234.00;12.00;1.00;4.00;5.60;2.35;21.00;102.00;20.00;73.70;49.50;17.00;0.00;19.90
Faoug;879.00;252.60;179.00;571.00;129.00;166.00;-3.00;5.00;10.00;5.20;2.18;10.00;40.00;2.00;66.50;52.70;17.00;0.00;4.50
Vully-les-Lacs;3348.00;160.00;715.00;2011.00;622.00;557.00;2.00;11.00;39.00;4.10;2.23;55.00;128.00;46.00;67.90;52.70;86.00;0.00;20.20
Bettens;637.00;170.30;148.00;452.00;37.00;104.00;6.00;4.00;2.00;4.60;2.42;7.00;18.00;0.00;50.00;57.00;6.00;0.00;-29.50
Bournens;491.00;125.60;128.00;292.00;71.00;94.00;6.00;0.00;0.00;6.20;2.53;6.00;23.00;35.00;64.90;59.60;11.00;0.00;138.30
Boussens;999.00;316.10;258.00;622.00;119.00;163.00;12.00;4.00;1.00;5.70;2.70;7.00;38.00;0.00;65.10;47.60;11.00;0.00;-1.00
La Chaux (Cossonay);392.00;58.20;91.00;228.00;73.00;40.00;-1.00;1.00;2.00;9.40;2.44;12.00;19.00;0.00;63.90;49.10;7.00;0.00;-5.10
Chavannes-le-Veyron;152.00;57.60;38.00;91.00;23.00;21.00;4.00;0.00;0.00;4.90;2.49;9.00;4.00;4.00;44.70;47.00;X;0.00;-26.30
Chevilly;317.00;81.50;78.00;201.00;38.00;36.00;4.00;0.00;1.00;2.30;2.43;5.00;10.00;0.00;53.80;52.80;X;0.00;-9.50
Cossonay;4223.00;510.00;943.00;2701.00;579.00;1022.00;34.00;9.00;23.00;5.00;2.25;15.00;229.00;122.00;46.50;57.30;118.00;1.00;36.00
Cottens (VD);493.00;209.80;132.00;271.00;90.00;78.00;11.00;3.00;1.00;8.20;2.67;9.00;25.00;0.00;56.70;46.30;9.00;0.00;-8.20
Cuarnens;528.00;74.10;119.00;336.00;73.00;81.00;0.00;2.00;4.00;5.40;2.39;16.00;19.00;24.00;49.30;46.10;7.00;0.00;84.80
Daillens;1051.00;190.40;256.00;663.00;132.00;179.00;9.00;3.00;3.00;5.10;2.45;12.00;46.00;12.00;58.30;44.20;7.00;0.00;6.70
Dizy;223.00;73.40;57.00;144.00;22.00;27.00;1.00;0.00;1.00;10.80;2.69;6.00;11.00;0.00;50.00;47.50;X;0.00;-48.10
Eclépens;1218.00;210.00;294.00;743.00;181.00;298.00;5.00;8.00;9.00;5.30;2.49;7.00;54.00;0.00;56.50;50.40;29.00;0.00;-5.70
Ferreyres;319.00;100.90;83.00;193.00;43.00;30.00;2.00;2.00;1.00;8.90;2.59;4.00;18.00;1.00;62.50;44.90;X;0.00;6.30
Gollion;997.00;182.90;217.00;636.00;144.00;173.00;15.00;3.00;3.00;4.80;2.29;15.00;44.00;13.00;38.90;63.20;9.00;0.00;45.50
Grancy;407.00;71.80;103.00;243.00;61.00;68.00;5.00;0.00;0.00;11.50;2.61;7.00;20.00;1.00;52.00;46.80;8.00;0.00;12.40
L'Isle;1064.00;65.60;235.00;629.00;200.00;150.00;3.00;0.00;7.00;7.60;2.30;20.00;58.00;16.00;53.00;51.70;28.00;0.00;50.20
Lussery-Villars;458.00;122.50;90.00;311.00;57.00;88.00;6.00;2.00;0.00;4.60;2.12;7.00;20.00;2.00;56.00;58.80;X;0.00;-10.90
Mauraz;59.00;118.00;13.00;36.00;10.00;6.00;1.00;2.00;0.00;4.20;2.46;X;7.00;0.00;23.50;46.20;X;0.00;17.20
Mex (VD);790.00;279.20;156.00;494.00;140.00;216.00;8.00;2.00;3.00;4.40;2.30;4.00;34.00;26.00;68.50;49.30;8.00;0.00;88.90
Moiry;311.00;46.70;66.00;187.00;58.00;19.00;4.00;0.00;1.00;10.20;2.45;9.00;15.00;1.00;58.30;48.20;X;0.00;-9.70
Mont-la-Ville;490.00;24.80;115.00;294.00;81.00;67.00;1.00;1.00;5.00;6.10;2.47;9.00;22.00;2.00;72.20;45.10;10.00;0.00;20.70
Montricher;964.00;37.00;195.00;604.00;165.00;153.00;6.00;2.00;1.00;5.80;2.31;19.00;45.00;2.00;49.60;50.40;11.00;0.00;-8.30
Orny;462.00;83.20;110.00;290.00;62.00;92.00;-12.00;0.00;16.00;5.50;2.47;9.00;17.00;28.00;57.30;47.40;X;0.00;132.10
Pampigny;1129.00;101.80;257.00;708.00;164.00;163.00;2.00;3.00;5.00;7.50;2.41;21.00;44.00;41.00;48.20;52.00;14.00;0.00;21.50
Penthalaz;3207.00;828.70;711.00;1942.00;554.00;885.00;11.00;8.00;23.00;4.30;2.27;6.00;141.00;17.00;43.80;63.80;143.00;0.00;-18.30
Penthaz;1855.00;483.10;449.00;1153.00;253.00;454.00;8.00;4.00;11.00;4.10;2.45;X;76.00;26.00;74.90;52.20;33.00;0.00;46.50
Pompaples;847.00;190.80;217.00;485.00;145.00;218.00;-2.00;5.00;11.00;6.80;2.37;8.00;48.00;1.00;59.30;45.80;43.00;0.00;4.70
La Sarraz;2595.00;337.00;619.00;1606.00;370.00;743.00;-4.00;9.00;27.00;6.60;2.34;7.00;159.00;0.00;59.80;51.60;80.00;1.00;-16.40
Senarclens;492.00;123.90;117.00;289.00;86.00;74.00;-4.00;0.00;6.00;10.30;2.57;6.00;22.00;3.00;62.20;40.60;X;0.00;41.30
Sévery;215.00;90.30;37.00;144.00;34.00;19.00;2.00;2.00;1.00;3.20;2.29;8.00;8.00;0.00;50.00;46.70;X;0.00;-63.30
Sullens;1042.00;266.50;228.00;643.00;171.00;189.00;8.00;5.00;4.00;6.20;2.50;8.00;45.00;12.00;62.80;55.90;17.00;0.00;0.00
Vufflens-la-Ville;1351.00;251.10;307.00;815.00;229.00;212.00;10.00;1.00;6.00;5.00;2.42;6.00;82.00;11.00;69.90;39.80;18.00;0.00;37.10
Assens;1143.00;214.00;267.00;695.00;181.00;142.00;6.00;2.00;6.00;8.00;2.48;13.00;66.00;18.00;48.90;54.20;24.00;0.00;52.30
Bercher;1322.00;309.60;317.00;809.00;196.00;222.00;1.00;8.00;8.00;8.70;2.51;5.00;55.00;8.00;65.20;53.60;25.00;0.00;30.70
Bioley-Orjulaz;526.00;168.60;116.00;356.00;54.00;116.00;5.00;1.00;1.00;4.80;2.47;5.00;24.00;0.00;45.20;59.60;X;0.00;13.40
Bottens;1331.00;193.50;325.00;832.00;174.00;191.00;20.00;6.00;2.00;5.50;2.48;17.00;56.00;0.00;51.70;50.10;21.00;0.00;6.80
Bretigny-sur-Morrens;859.00;299.30;207.00;557.00;95.00;159.00;3.00;4.00;7.00;4.30;2.28;4.00;37.00;6.00;50.70;52.00;33.00;0.00;-4.60
Cugy (VD);2762.00;949.10;707.00;1622.00;433.00;659.00;2.00;6.00;20.00;8.70;2.50;5.00;169.00;31.00;67.90;49.40;80.00;0.00;-0.70
Echallens;5729.00;860.20;1366.00;3452.00;911.00;1235.00;1.00;15.00;46.00;7.30;2.42;18.00;403.00;7.00;65.60;55.10;151.00;1.00;1.70
Essertines-sur-Yverdon;1037.00;106.30;270.00;627.00;140.00;135.00;11.00;10.00;5.00;6.10;2.55;15.00;49.00;0.00;57.00;44.50;29.00;0.00;-3.90
Etagnières;1146.00;303.20;274.00;713.00;159.00;226.00;7.00;3.00;5.00;6.10;2.40;7.00;58.00;5.00;55.40;49.70;39.00;0.00;-4.40
Fey;749.00;102.00;200.00;447.00;102.00;91.00;2.00;1.00;6.00;8.20;2.68;10.00;23.00;0.00;58.20;45.80;X;0.00;-13.30
Froideville;2695.00;380.60;697.00;1634.00;364.00;497.00;15.00;11.00;16.00;6.90;2.43;5.00;93.00;19.00;70.20;52.60;42.00;0.00;12.00
Morrens (VD);1154.00;314.40;278.00;671.00;205.00;194.00;8.00;4.00;3.00;7.80;2.58;5.00;43.00;0.00;63.80;46.20;16.00;0.00;16.60
Oulens-sous-Echallens;617.00;105.10;151.00;379.00;87.00;80.00;-1.00;3.00;3.00;7.20;2.47;16.00;29.00;5.00;55.70;39.40;8.00;0.00;1.60
Pailly;568.00;98.40;148.00;349.00;71.00;71.00;6.00;3.00;2.00;8.80;2.64;14.00;20.00;1.00;60.70;43.20;X;0.00;1.80
Penthéréaz;419.00;73.80;100.00;267.00;52.00;21.00;2.00;1.00;2.00;8.50;2.54;10.00;13.00;0.00;49.60;39.70;X;0.00;-9.50
Poliez-Pittet;830.00;165.70;215.00;503.00;112.00;119.00;4.00;4.00;4.00;4.90;2.51;13.00;33.00;0.00;50.60;53.00;17.00;0.00;-2.40
Rueyres;266.00;133.00;65.00;155.00;46.00;31.00;1.00;0.00;1.00;11.10;2.46;6.00;5.00;0.00;56.70;45.40;8.00;0.00;0.00
Saint-Barthélemy (VD);783.00;190.00;161.00;509.00;113.00;96.00;4.00;3.00;5.00;5.70;2.47;14.00;28.00;0.00;59.80;45.20;X;0.00;-15.30
Villars-le-Terroir;1280.00;180.50;336.00;756.00;188.00;169.00;9.00;4.00;8.00;6.50;2.53;22.00;52.00;11.00;50.70;52.20;12.00;0.00;35.90
Vuarrens;1060.00;118.20;305.00;652.00;103.00;153.00;-4.00;4.00;10.00;11.20;2.77;20.00;28.00;3.00;64.00;42.80;18.00;0.00;6.60
Montilliez;1858.00;156.70;448.00;1146.00;264.00;260.00;13.00;8.00;10.00;5.20;2.43;27.00;64.00;6.00;60.50;47.90;31.00;0.00;13.10
Goumoëns;1153.00;107.90;325.00;638.00;190.00;125.00;-3.00;2.00;17.00;7.00;2.57;23.00;46.00;1.00;59.60;46.90;10.00;0.00;19.20
Bonvillars;489.00;65.00;107.00;282.00;100.00;40.00;-3.00;1.00;7.00;7.30;2.36;15.00;22.00;2.00;56.60;53.10;X;0.00;10.20
Bullet;658.00;39.10;107.00;364.00;187.00;42.00;-5.00;5.00;10.00;4.70;2.07;12.00;40.00;6.00;66.50;54.80;11.00;0.00;6.10
Champagne;1062.00;270.90;261.00;661.00;140.00;197.00;5.00;4.00;4.00;6.70;2.46;6.00;60.00;1.00;58.10;53.90;11.00;0.00;-0.90
Concise;1001.00;88.00;229.00;587.00;185.00;147.00;-8.00;3.00;20.00;4.10;2.24;14.00;55.00;0.00;59.70;53.30;31.00;0.00;-14.80
Corcelles-près-Concise;418.00;103.00;95.00;246.00;77.00;44.00;-3.00;2.00;7.00;7.10;2.36;12.00;15.00;8.00;62.60;57.80;X;0.00;48.80
Fiez;451.00;66.00;118.00;268.00;65.00;43.00;0.00;1.00;2.00;5.60;2.53;6.00;18.00;0.00;70.10;40.30;6.00;0.00;6.70
Fontaines-sur-Grandson;219.00;27.90;60.00;134.00;25.00;28.00;-1.00;2.00;2.00;9.50;2.61;X;5.00;0.00;61.30;41.10;X;0.00;18.40
Giez;413.00;86.80;85.00;251.00;77.00;65.00;-4.00;0.00;4.00;7.10;2.42;8.00;13.00;0.00;56.70;45.40;X;0.00;12.10
Grandevent;226.00;65.70;45.00;147.00;34.00;33.00;-3.00;0.00;3.00;7.70;2.48;X;12.00;3.00;76.10;48.70;X;0.00;31.30
Grandson;3358.00;427.80;683.00;2081.00;594.00;655.00;8.00;10.00;22.00;4.30;2.18;5.00;160.00;2.00;59.20;50.50;143.00;0.00;2.70
Mauborget;127.00;23.00;19.00;66.00;42.00;9.00;1.00;0.00;1.00;4.80;2.05;4.00;10.00;0.00;75.30;61.20;6.00;0.00;40.50
Mutrux;148.00;45.80;33.00;88.00;27.00;5.00;0.00;1.00;0.00;10.70;2.59;4.00;9.00;1.00;55.10;52.20;X;0.00;-33.30
Novalles;100.00;48.50;27.00;52.00;21.00;9.00;1.00;0.00;1.00;7.50;2.50;6.00;X;0.00;59.40;36.40;X;0.00;0.00
Onnens (VD);506.00;98.40;119.00;297.00;90.00;76.00;3.00;1.00;5.00;5.80;2.43;9.00;35.00;4.00;55.40;47.40;X;0.00;16.00
Provence;392.00;12.30;58.00;241.00;93.00;38.00;6.00;1.00;0.00;3.80;2.09;20.00;17.00;2.00;36.90;55.50;13.00;0.00;23.40
Sainte-Croix;4933.00;125.00;940.00;2758.00;1235.00;970.00;-28.00;14.00;71.00;4.40;1.90;35.00;243.00;14.00;46.70;58.20;472.00;1.00;10.80
Tévenon;894.00;62.60;214.00;500.00;180.00;117.00;-2.00;1.00;10.00;7.00;2.32;11.00;32.00;2.00;71.20;51.30;9.00;0.00;2.20
Belmont-sur-Lausanne;3750.00;1415.10;888.00;2328.00;534.00;952.00;29.00;14.00;19.00;5.20;2.44;X;153.00;10.00;72.70;53.20;67.00;0.00;-8.20
Cheseaux-sur-Lausanne;4360.00;952.00;963.00;2682.00;715.00;1015.00;14.00;9.00;33.00;4.50;2.31;15.00;176.00;40.00;54.90;59.80;80.00;0.00;3.50
Crissier;8727.00;1586.70;1914.00;5661.00;1152.00;3867.00;22.00;32.00;52.00;6.10;2.31;5.00;595.00;631.00;50.40;54.40;369.00;0.00;83.30
Epalinges;9769.00;2137.60;2238.00;5885.00;1646.00;2992.00;5.00;24.00;74.00;5.60;2.32;X;482.00;116.00;72.70;47.20;217.00;0.00;6.30
Jouxtens-Mézery;1412.00;731.60;302.00;803.00;307.00;274.00;5.00;3.00;3.00;8.60;2.70;0.00;65.00;3.00;80.90;26.30;127.00;0.00;-11.30
Lausanne;140202.00;3388.20;27219.00;92650.00;20333.00;59325.00;465.00;474.00;1177.00;4.00;1.96;21.00;12155.00;348.00;24.10;48.60;10497.00;6.00;0.50
Le Mont-sur-Lausanne;9144.00;933.10;2285.00;5505.00;1354.00;2593.00;74.00;29.00;78.00;7.10;2.52;17.00;611.00;16.00;61.80;53.50;239.00;0.00;7.30
Paudex;1540.00;3142.90;260.00;940.00;340.00;497.00;10.00;4.00;6.00;2.40;2.07;X;147.00;5.00;54.00;47.70;48.00;0.00;0.70
Prilly;12360.00;5618.20;2420.00;7743.00;2197.00;5196.00;38.00;39.00;115.00;3.60;2.01;X;496.00;15.00;27.00;56.20;742.00;1.00;-7.30
Pully;18694.00;3184.70;3755.00;10756.00;4183.00;6040.00;3.00;46.00;177.00;4.10;2.14;7.00;1110.00;177.00;31.50;53.40;361.00;1.00;12.50
Renens (VD);20834.00;7062.40;4356.00;13443.00;3035.00;10409.00;57.00;70.00;149.00;5.50;2.15;X;1055.00;264.00;42.40;51.60;1378.00;0.00;-6.40
Romanel-sur-Lausanne;3240.00;1125.00;653.00;1959.00;628.00;792.00;7.00;7.00;26.00;4.40;2.20;X;169.00;15.00;49.90;61.60;102.00;0.00;-17.80
Chexbres;2252.00;1047.40;470.00;1300.00;482.00;585.00;-37.00;7.00;54.00;4.90;2.13;14.00;137.00;0.00;47.00;53.40;57.00;1.00;27.20
Forel (Lavaux);2107.00;113.80;465.00;1298.00;344.00;412.00;10.00;8.00;13.00;5.10;2.32;41.00;117.00;19.00;51.50;53.40;33.00;0.00;15.30
Lutry;10459.00;1236.30;2069.00;6001.00;2389.00;2868.00;-62.00;35.00;161.00;4.60;2.23;26.00;745.00;87.00;56.40;52.00;110.00;0.00;16.70
Puidoux;2888.00;126.30;674.00;1810.00;404.00;856.00;19.00;9.00;10.00;6.90;2.37;54.00;192.00;0.00;44.50;55.80;118.00;0.00;-1.40
Rivaz;337.00;1087.10;53.00;217.00;67.00;52.00;0.00;2.00;4.00;4.50;2.17;15.00;15.00;0.00;36.50;56.00;X;0.00;-5.90
Saint-Saphorin (Lavaux);389.00;437.10;92.00;230.00;67.00;84.00;2.00;3.00;1.00;5.70;2.24;5.00;23.00;5.00;56.90;49.60;11.00;0.00;36.40
Savigny;3349.00;209.20;708.00;1995.00;646.00;732.00;7.00;9.00;27.00;5.40;2.35;40.00;195.00;14.00;64.80;46.30;84.00;0.00;-4.80
Bourg-en-Lavaux;5391.00;559.20;1062.00;3212.00;1117.00;1216.00;-3.00;15.00;56.00;4.90;2.27;77.00;340.00;5.00;55.40;48.00;62.00;0.00;9.10
Aclens;531.00;136.20;116.00;338.00;77.00;127.00;2.00;1.00;3.00;5.40;2.40;6.00;62.00;3.00;41.50;54.50;X;0.00;-22.40
Bremblens;584.00;200.70;156.00;340.00;88.00;85.00;2.00;0.00;2.00;9.90;2.74;5.00;31.00;6.00;63.00;38.40;X;0.00;6.90
Buchillon;687.00;327.10;152.00;386.00;149.00;178.00;-4.00;3.00;6.00;8.80;2.52;X;38.00;0.00;77.40;42.20;X;0.00;2.90
Bussigny;9603.00;1996.50;2113.00;6196.00;1294.00;3519.00;61.00;18.00;43.00;5.10;2.30;4.00;514.00;523.00;59.90;60.00;364.00;0.00;65.00
Bussy-Chardonney;404.00;131.60;87.00;243.00;74.00;66.00;1.00;0.00;2.00;6.30;2.53;6.00;20.00;13.00;70.70;37.60;X;0.00;48.20
Chavannes-près-Renens;8460.00;5127.30;2102.00;5447.00;911.00;4579.00;66.00;27.00;42.00;6.80;2.30;X;257.00;552.00;20.10;57.00;413.00;0.00;62.90
Chigny;396.00;444.90;110.00;236.00;50.00;95.00;2.00;1.00;0.00;9.20;2.75;X;13.00;0.00;67.00;39.80;X;0.00;41.10
Clarmont;201.00;197.10;44.00;123.00;34.00;43.00;0.00;1.00;1.00;4.10;2.05;7.00;12.00;14.00;40.40;52.30;X;0.00;51.00
